protein_group_no	protein_id	description	gene_name	mw	top3	protein_fdr	max_score	total_score	ssm	upm	fqssm	qssm	qupm	reference_label	signal_sum_LIGHT	signal_sum_HEAVY	rel_fc_LIGHT	rel_fc_HEAVY	delta_conf_LIGHT	delta_conf_HEAVY
1	Q8BH24	Transmembrane 9 superfamily member 4 OS=Mus musculus OX=10090 GN=Tm9sf4 PE=1 SV=1	TM9SF4	75442.3	6.30912	0.0	67	415	17	8	2	8	7	LIGHT	1.27828e+07	1.44373e+07	1.0	1.11316	0.0	0.995211
2	Q8BH26	Transmembrane protein 251 OS=Mus musculus OX=10090 GN=Tmem251 PE=2 SV=1	TMEM251	19049.7	5.0016	0.0060241	34	34	1	1	1	0	0	LIGHT	0.0	0.0	1.0	nan	0.0	0.0
3	B2RXV4	Feline leukemia virus subgroup C receptor-related protein 1 OS=Mus musculus OX=10090 GN=Flvcr1 PE=2 SV=1	FLVCR1	60942.7	5.09123	0.0	73	97	4	2	1	1	1	LIGHT	349261.0	465089.0	1.0	1.33164	0.0	0.0
4	E9Q3P4	Centromere protein F OS=Mus musculus OX=10090 GN=Cenpf PE=1 SV=1	CENPF	345340.0	5.76587	0.0	93	2692	63	55	49	7	7	LIGHT	1.68233e+07	1.65485e+07	1.0	6.07667	0.0	11.6936
5	Q6PFX9|Q6PFX9-2	Poly [ADP-ribose] polymerase tankyrase-1 OS=Mus musculus OX=10090 GN=Tnks PE=1 SV=1|Isoform 2 of Poly [ADP-ribose] polymerase tankyrase-1 OS=Mus musculus OX=10090 GN=Tnks	TNKS	142510.0|107952.0	5.1987	0.0	73	164	3	3	0	3	3	LIGHT	0.0	760772.0	1.0	inf	0.0	nan
6	Q8C2A2|Q8C2A2-2	tRNA-splicing endonuclease subunit Sen54 OS=Mus musculus OX=10090 GN=Tsen54 PE=2 SV=2|Isoform 2 of tRNA-splicing endonuclease subunit Sen54 OS=Mus musculus OX=10090 GN=Tsen54	TSEN54	59787.9|55503.7	5.084	0.0	60	255	13	5	5	3	3	LIGHT	737464.0	492059.0	1.0	0.713581	0.0	0.186321
7	A0A1B0GR52|A0A1B0GR53|A0A1B0GS34|A0A1B0GSF3|A0A1B0GT05|O35153	BET1-like protein (Fragment) OS=Mus musculus OX=10090 GN=Bet1l PE=4 SV=1|BET1-like protein (Fragment) OS=Mus musculus OX=10090 GN=Bet1l PE=4 SV=1|BET1-like protein OS=Mus musculus OX=10090 GN=Bet1l PE=4 SV=1|BET1-like protein OS=Mus musculus OX=10090 GN=Bet1l PE=4 SV=1|Predicted gene 45785 OS=Mus musculus OX=10090 GN=Gm45785 PE=4 SV=1|BET1-like protein OS=Mus musculus OX=10090 GN=Bet1l PE=3 SV=1	BET1L|GM45785	13221.7|5276.65|10243.3|5393.79|10496.2|12477.4	5.39726	0.000316456	47	47	2	1	0	1	1	LIGHT	224773.0	432403.0	1.0	1.92374	0.0	0.0
8	Q9QYH6	Melanoma-associated antigen D1 OS=Mus musculus OX=10090 GN=Maged1 PE=1 SV=1	MAGED1	85673.8	6.11503	0.0	110	611	14	9	4	6	6	LIGHT	0.0	9.34825e+06	1.0	inf	0.0	nan
9	Q5SRT8	Cyclin-J-like protein OS=Mus musculus OX=10090 GN=Ccnjl PE=2 SV=1	CCNJL	44357.2	5.49527	0.00401376	37	37	1	1	0	1	1	LIGHT	0.0	318688.0	1.0	inf	0.0	nan
10	Q9EP78	Carbohydrate sulfotransferase 7 OS=Mus musculus OX=10090 GN=Chst7 PE=2 SV=1	CHST7	55302.8	5.01876	0.00318748	38	64	2	2	0	2	2	LIGHT	0.0	443985.0	1.0	inf	0.0	nan
11	Q9EP72	ER membrane protein complex subunit 7 OS=Mus musculus OX=10090 GN=Emc7 PE=1 SV=1	EMC7	26293.4	5.63178	0.0	55	173	7	5	2	3	3	LIGHT	1.86597e+06	2.80721e+06	1.0	1.58103	0.0	0.347479
12	A0A2I3BPY7|Q9EP71	Ankycorbin OS=Mus musculus OX=10090 GN=Rai14 PE=1 SV=1|Ankycorbin OS=Mus musculus OX=10090 GN=Rai14 PE=1 SV=1	RAI14	106335.0|109470.0	5.82629	0.0	103	1236	47	25	9	20	20	LIGHT	1.10752e+07	1.81337e+07	1.0	1.59444	0.0	1.09812
